index,prob
0,0.999988154931502
1,0.999991360164824
2,0.9999198033051058
3,0.9999313304122065
4,0.9999395896153278
5,0.9999471524051416
6,0.9999465853498694
7,0.9999444922432303
8,0.9999503656929615
9,0.9999310780937473
10,0.9998961141176312
11,0.9998923890174382
12,0.9998993851601857
13,0.9999037423246616
14,0.9998658591950381
15,0.9998729177737304
16,0.9998768874946325
17,0.9997054409344219
18,0.999712190498108
19,0.9997236599210161
20,0.9997446771973891
21,0.9994470389731916
22,0.9994511527892871
23,0.9994701695532853
24,0.9994840664758208
25,0.9995108731284712
26,0.9993811020484338
27,0.9993901630180383
28,0.9994066154084554
29,0.9994128896983084
30,0.9994188947894974
31,0.9994395937284698
32,0.9994455292720923
33,0.9994695111252796
34,0.9994844586470583
35,0.9994917417329455
36,0.9995074964384028
37,0.9995259224428786
38,0.9995145888375505
39,0.9993487814298043
40,0.9993623725548308
41,0.9993792522026124
42,0.9993901845845223
43,0.9993959992368784
44,0.9994026236164866
45,0.9994057236363724
46,0.9994165736958728
47,0.9994249134903924
48,0.9994314620053961
49,0.9994430623699785
50,0.9994577168912783
51,0.9994703378799735
52,0.9994789711142866
53,0.9994845948575205
54,0.9994948265689242
55,0.9994983333228344
56,0.999411716897979
57,0.9994172978743584
58,0.9994229028324881
59,0.999437405442705
60,0.9994477292413534
61,0.9994596408219287
62,0.9994664492066374
63,0.9994767864545187
64,0.9994623225575341
65,0.999469319914336
66,0.9994762143910201
67,0.9994793242946353
68,0.9994838701943569
69,0.9994889786214931
70,0.9994899547853815
71,0.9994998584286525
72,0.9995030851452333
73,0.9995099268328975
74,0.9995072705543554
75,0.9995111519565231
76,0.9995149611745562
77,0.999520617309497
78,0.9995214885893096
79,0.9995331877646741
80,0.9995368607064532
81,0.9995388990944458
82,0.9995368821536764
83,0.9995424759058528
84,0.9994328013574234
85,0.9994385377494637
86,0.9994442068003668
87,0.9994477307395824
88,0.9994566888330085
89,0.999461763958861
90,0.9994667175786803
91,0.9994714305247959
92,0.9994752184106415
93,0.9994799878227112
94,0.9994857683207526
95,0.9994817255073124
96,0.9993736841091454
97,0.9993772586668173
98,0.999383261672452
99,0.9993863021638117
100,0.9993919070922967
101,0.9993968246530265
102,0.9994005974980732
103,0.9994047097097761
104,0.9994166577130221
105,0.9994249243981282
106,0.9993188939186063
107,0.9993254064820534
108,0.9993309463904102
109,0.9993361767480582
110,0.9993392797387823
111,0.9993438183768721
112,0.9993457722753175
113,0.9993474555630091
114,0.9993497437544302
115,0.9992862766324186
116,0.9992910376895557
117,0.9992980866766662
118,0.9992882923858901
119,0.9992859058454501
120,0.9992912167168599
121,0.9992937812215342
122,0.9992961688302561
123,0.9992989530645567
124,0.9990704220129513
125,0.9990785136597681
126,0.9990827895032673
127,0.9990804497366778
128,0.9990876532706616
129,0.999092359209432
130,0.9990967240570667
131,0.9990898009595272
132,0.9990946417410028
133,0.9991060473821448
134,0.9991124570555753
135,0.9991026995362046
136,0.9991062469883322
137,0.9991089557791821
138,0.9991119045673347
139,0.9991153471020265
140,0.9991178253938724
141,0.9991218357223484
142,0.9991250989084522
143,0.999128870316712
144,0.9991340356487248
145,0.9991408815723912
146,0.9991471933848479
147,0.9991466747302307
148,0.9991518914529256
149,0.9991603322308179
150,0.9991633481374929
151,0.9991569667095904
152,0.9991643270539603
153,0.9991674892221742
154,0.9991699559872976
155,0.9991764686108934
156,0.999180581827404
157,0.9991849332574049
158,0.9991874809864684
159,0.9991906883392648
160,0.9991968705432828
161,0.9991849505389857
162,0.9991911156708654
163,0.9991154180738443
164,0.9991186849121315
165,0.999121540639014
166,0.9991270701942992
167,0.9991296648109265
168,0.9991326996441949
169,0.999135916378389
170,0.9991382313980413
171,0.9991384644513102
172,0.9991437585559892
173,0.9991489450234309
174,0.999152824177119
175,0.9991567635014744
176,0.999158335184348
177,0.9989258001165054
178,0.9989310902669335
179,0.9989333637274883
180,0.998937081378077
181,0.9989426156372645
182,0.998949929180285
183,0.9989532417318376
184,0.9989647208769887
185,0.9989229423999778
186,0.9988726318389896
187,0.9988782504699456
